TITOLO,ISSN,NOTE
ZEITSCHRIFT DER SAVIGNY-STIFTUNG FÜR RECHTSGESCHICHTE. ROMANISTISCHE ABTEILUNG,0323-4096,.
ZEITSCHRIFT FUER AUSLANDISCHES OEFFENTLICHES RECHT UND VOELKERRECHT,0044-2348,.
ZEITSCHRIFT FUER WIRTSCHAFTS- UND BANKRECHT,0342-6971,.
ZEITSCHRIFT FUER ZIVILPROZESS,0342-3468,.
ZEITSCHRIFT FÜR DIE GESAMTE PRIVATRECHTSWISSENSCHAFT,2363-4960,.
ZEITSCHRIFT FÜR DIE GESAMTE STRAFRECHTSWISSENSCHAFT,0084-5310,.
ZEITSCHRIFT FUR EUROPAISCHES PRIVATRECHT,0943-3929,.
ZEITSCHRIFT FÜR EUROPÄISCHES UNTERNEHMENS- UND VERBRAUCHERRECHT - JOURNAL OF EUROPEAN CONSUMER AND MARKET LAW),2191-3420,.
ZEITSCHRIFT FÜR EUROPÄISCHES UNTERNEHMENS- UND VERBRAUCHERRECHT (JOURNAL OF EUROPEAN CONSUMER AND MARKET LAW),2191-3412,.
ZEITSCHRIFT FÜR FAMILIEN- UND ERBRECHT,2226-0412,.
ZEITSCHRIFT FÜR GESETZGEBUNG,0179-4051,.
ZEITSCHRIFT FÜR NEUERE RECHTSGESCHICHTE,0250-6459,.
ZEITSCHRIFT FÜR RECHTSSOZIOLOGIE,0174-0202,.
ZEITSCHRIFT FÜR SCHWEIZERISCHES RECHT,0254-945X,.
ZEITSCHRIFT FUR UNTERNEHMENS- UND GESELLSCHAFTSRECHT,0340-2479,.
ZEITSCHRIFT FÜR ZIVILPROZESS INTERNATIONAL,1434-8888,.
