TITOLO,ISSN,VERSIONE,13/A1,13/A2,13/A3,13/A4,13/A5,13/B1,13/B2,13/B3,13/B4,13/B5,13/C1,13/D1,13/D2,13/D3,13/D4
BRITISH JOURNAL OF POLITICAL SCIENCE,1469-2112,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
BRITISH JOURNAL OF POLITICAL SCIENCE,0007-1234,print,A,A,A,A,A,A,A,A,A,A,A,,,,
BRITISH JOURNAL OF SURGERY,0007-1323,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,1533-4465,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,0007-2303,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
BUSINESS AND SOCIETY,0007-6503,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
BUSINESS ETHICS QUARTERLY,1052-150X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
BUSINESS HISTORY,0007-6791,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
BUSINESS HISTORY REVIEW,0007-6805,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
BUSINESS HORIZONS,0007-6813,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
BUSINESS PROCESS MANAGEMENT JOURNAL,1463-7154,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,,,,
BUSINESS STRATEGY AND THE ENVIRONMENT,1099-0836,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
CALIFORNIA MANAGEMENT REVIEW,0008-1256,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
CAMBRIDGE JOURNAL OF ECONOMICS,1464-3545,on-line,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
CAMBRIDGE JOURNAL OF ECONOMICS,0309-166X,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
"CAMBRIDGE JOURNAL OF REGIONS, ECONOMY AND SOCIETY",1752-1378,print,A,A,A,A,A,,,,,,A,A,A,A,
CANADIAN JOURNAL OF ECONOMICS,0008-4085,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
CANADIAN JOURNAL OF FOREST RESEARCH,0045-5067,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,0319-5724,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
CANCER,0008-543X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,1055-9965,.,,,,,,,,,,,,(a),(a),(a),(a)
CAPITAL & CLASS,0309-8168,print,A,A,A,A,A,,,,,,A,,,,
CARBOHYDRATE POLYMERS,0144-8617,.,,,,,,(a),(a),(a),(a),(a),,,,,
CAREER DEVELOPMENT INTERNATIONAL,1362-0436,print,,,,,,A,A,A,A,A,A,,,,
